,,,,,,,,,
Top 100,Type,Gemeenten gesorteerd op grootte,Wie ingevuld?,Datum (wijziging),Corona Informatie,Corona specifiek nieuws,Algemeen nieuws,Opmerkingen,
1,Gemeente,Amsterdam,Tom,04-05-2020,,https://www.amsterdam.nl/coronavirus,https://www.amsterdam.nl/nieuws/,,
2,Gemeente,Rotterdam,Tom,04-05-2020,,https://www.rotterdam.nl/wonen-leven/coronanieuws/,https://www.rotterdam.nl/nieuws/,,
3,Gemeente,s-Gravenhage,Tom,04-05-2020,,https://www.denhaag.nl/nl/bestuur-en-organisatie/coronavirus-1.htm,https://www.denhaag.nl/nl/in-de-stad/nieuws.htm,,
4,Gemeente,Utrecht,Tom,04-05-2020,,https://www.utrecht.nl/bestuur-en-organisatie/coronavirus/,https://www.utrecht.nl/nieuws/,,
5,Gemeente,Eindhoven,Tom,04-05-2020,,https://www.eindhoven.nl/stad-en-wonen/stad/informatie-over-coronavirus,https://www.eindhoven.nl/nieuws,,
6,Gemeente,Tilburg,Tom,06-05-2020,,https://www.tilburg.nl/actueel/crisis/,https://www.tilburg.nl/actueel/,,
7,Gemeente,Groningen,Tom,06-05-2020,,https://gemeente.groningen.nl/coronavirus,https://gemeente.groningen.nl/actueel/nieuws,,
8,Gemeente,Almere,Tom,06-05-2020,,https://www.almere.nl/nc/wonen/zorg-en-welzijn/maatregelen-in-almere-tegen-coronavirus/,https://www.almere.nl/over-almere/actueel/,,
9,Gemeente,Breda,Tom,06-05-2020,,https://www.breda.nl/coronavirus,https://www.breda.nl/nieuwsberichten,,
10,Gemeente,Nijmegen,Tom,06-05-2020,,https://www.nijmegen.nl/nieuws/nieuwsdossiers/dossier-coronavirus-covid-19/,https://www.nijmegen.nl/nieuws/,,checken bij Breyten: onderscheid maken tussen nieuws & informatie?
11,Gemeente,Apeldoorn,Tom,06-05-2020,,https://www.apeldoorn.nl/coronanieuws,https://www.apeldoorn.nl/nieuws,,
12,Gemeente,Haarlem,Tom,06-05-2020,,https://www.haarlem.nl/corona-nieuws-overzicht/,https://www.haarlem.nl/nieuws-en-actualiteiten/,,
13,Gemeente,Enschede,Tom,06-05-2020,,https://www.enschede.nl/nieuws/actuele-informatie-over-coronavirus,https://www.enschede.nl/nieuws,,
14,Gemeente,Arnhem,Tom,06-05-2020,,https://www.arnhem.nl/actueel/alle_nieuwsberichten/Informatie_over_het_Coronavirus,https://www.arnhem.nl/actueel/alle_nieuwsberichten,,
15,Gemeente,Amersfoort,Tom,06-05-2020,,https://www.amersfoort.nl/zorg-en-ondersteuning/to-2/actuele-informatie-corona.htm,https://www.amersfoort.nl/nieuws.htm,,
16,Gemeente,Zaanstad,Tom,06-05-2020,,https://www.zaanstad.nl/mozard/!suite86.scherm0325?mPag=1731&mLok=1,https://www.zaanstad.nl/mozard/!suite05.scherm1069?mNwc=1,,
17,Gemeente,s-Hertogenbosch,Tom,06-05-2020,,https://www.s-hertogenbosch.nl/corona.html,https://www.s-hertogenbosch.nl/actueel/nieuws.html,,
18,Gemeente,Haarlemmermeer,Tom,06-05-2020,,https://haarlemmermeergemeente.nl/taak/corona,https://haarlemmermeergemeente.nl/nieuwsoverzicht,,
19,Gemeente,Zwolle,Tom,06-05-2020,,https://www.zwolle.nl/nieuws-over-coronavirus,https://www.zwolle.nl/nieuws,,
20,Gemeente,Zoetermeer,Tom,06-05-2020,,https://www.zoetermeer.nl/inwoners/coronavirus-in-zoetermeer_48552?pk_campaign=Redirects&pk_kwd=corona,https://www.zoetermeer.nl/inwoners/nieuws_45887/,,
21,Gemeente,Leiden,Tom,06-05-2020,,https://gemeente.leiden.nl/veelgestelde-vragen-en-nieuws-over-het-coronavirus/,https://gemeente.leiden.nl/nieuws/,,
22,Gemeente,Maastricht,Tom,06-05-2020,,https://www.gemeentemaastricht.nl/stad/steunpunt-corona,https://www.gemeentemaastricht.nl/stad/actueel,,
23,Gemeente,Dordrecht,Tom,06-05-2020,,https://cms.dordrecht.nl/Inwoners/Overzicht_Inwoners/Nieuws/Nieuws,https://cms.dordrecht.nl/Inwoners/Overzicht_Inwoners/Informatie_coronavirus,,
24,Gemeente,Ede,Tom,06-05-2020,,https://www.ede.nl/corona-nieuws,https://www.ede.nl/nieuws,,
25,Gemeente,Alphen Aan Den Rijn,Tom,06-05-2020,https://www.alphenaandenrijn.nl/Inwoners_en_bedrijven/Inhoud_homepage_Inwoners_en_bedrijven/Coronavirus,https://www.alphenaandenrijn.nl/Inwoners_en_bedrijven/Inhoud_homepage_Inwoners_en_bedrijven/Coronavirus/Nieuws_updates_maatregelen_Alphen_aan_den_Rijn,https://www.allesinalphen.nl/gemeentenieuws.html,,
26,Gemeente,Leeuwarden,Tom,06-05-2020,https://www.leeuwarden.nl/nl/coronavirus-covid-19,,https://www.leeuwarden.nl/nl/actueel,,
27,Gemeente,Alkmaar,Tom,06-05-2020,https://www.alkmaar.nl/coronavirus/,https://www.alkmaar.nl/actueel/15662/coronavirus-in-noord-holland-noord/,https://www.alkmaar.nl/actueel,,
28,Gemeente,Emmen,Tom,06-05-2020,https://gemeente.emmen.nl/coronavirus,https://gemeente.emmen.nl/informatie-coronavirus/nieuws-coronavirus,https://gemeente.emmen.nl/nieuws,,
29,Gemeente,Westland,Tom,06-05-2020,https://www.gemeentewestland.nl/coronavirus.html,https://www.gemeentewestland.nl/coronavirus/nieuws.html,https://www.gemeentewestland.nl/actueel/nieuws.html,,
30,Gemeente,Delft,Tom,06-05-2020,,https://www.delft.nl/nieuws-over-coronavirus,https://www.delft.nl/nieuws,Heeft aparte nieuwspagina voor Ondernemen (wel onder nieuws corona te vinden),
31,Gemeente,Venlo,Tom,06-05-2020,https://www.venlo.nl/informatie-coronavirus,https://www.venloonline.nl/nieuws/tag/coronavirus,https://www.venloonline.nl/,,
32,Gemeente,Deventer,Tom,06-05-2020,https://coronavirus.deventer.nl/,https://coronavirus.deventer.nl/updates,https://www.deventer.nl/nieuws,,
33,Gemeente,Sittard-Geleen,Tom,06-05-2020,https://www.sittard-geleen.nl/Inwoners/Actueel/Coronavirus,https://www.sittard-geleen.nl/Inwoners/Actueel/Coronavirus,https://www.sittard-geleen.nl/Inwoners/Actueel/Nieuws_en_persberichten,Aparte nieuwspagina voor ondernemers,
34,Gemeente,Helmond,Tom,06-05-2020,https://www.helmond.nl/Coronavirus,https://www.helmond.nl/coronavirus-nieuws-gemeente-helmond,https://www.helmond.nl/nieuws,,
35,Gemeente,Oss,Tom,06-05-2020,,https://www.oss.nl/inwoners/actueel/Coronavirus-1.htm,https://www.oss.nl/inwoners/actueel/nieuwsberichten.htm,,
36,Gemeente,Amstelveen,Tom,06-05-2020,,https://www.amstelveen.nl/home/nieuws/informatie-coronavirus,https://www.amstelveen.nl/home/publicatie/nieuws,,
37,Gemeente,Hilversum,Tom,06-05-2020,https://www.hilversum.nl/Home/Inwoner/Nieuws/Nieuwsitems/Corona_in_Hilversum,https://www.hilversum.nl/Home/Inwoner/Nieuws/Nieuwsitems/Corona,https://www.hilversum.nl/Home/Inwoner/Nieuws/Nieuwsitems,,
38,Gemeente,Heerlen,Tom,06-05-2020,https://www.heerlen.nl/corona.html,,https://www.heerlen.nl/actueel/nieuwsoverzicht.html,,
39,Gemeente,Nissewaard,Tom,06-05-2020,https://www.nissewaard.nl/coronavirus-1.htm,,https://www.nissewaard.nl/nieuws.htm,,
40,Gemeente,Súdwest-Fryslân,Tom,06-05-2020,https://sudwestfryslan.nl/nieuws/informatie-coronavirus/,,https://sudwestfryslan.nl/categorie/nieuws/,,
41,Gemeente,Hengelo,Tom,06-05-2020,https://www.hengelo.nl/Welkom-in-Hengelo/Beheer/Overige-pagina-s/Informatie-over-het-Coronavirus.html,,https://www.hengelo.nl/Welkom-in-Hengelo/Beheer/Nieuwsoverzicht.html,,
42,Gemeente,Purmerend,Tom,06-05-2020,,https://www.purmerend.nl/actuele-informatie-over-het-coronavirus-purmerend,https://www.purmerend.nl/nieuwsoverzicht,,
43,Gemeente,Meierijstad,Tom,06-05-2020,https://www.meierijstad.nl/home/coronavirus-covid-19_43523/,,https://www.meierijstad.nl/home/nieuws_3190/,,
44,Gemeente,Schiedam,Tom,06-05-2020,https://www.schiedam.nl/a-tot-z/coronavirus,https://www.schiedam.nl/a-tot-z/laatste-nieuws,https://www.schiedam.nl/nieuws,,
45,Gemeente,Roosendaal,Tom,06-05-2020,https://roosendaal.nl/informatie-over-corona,https://roosendaal.nl/laatste-nieuws,https://roosendaal.nl/nieuwsoverzicht,,
46,Gemeente,Lelystad,Tom,06-05-2020,https://www.lelystad.nl/coronavirus,https://www.lelystad.nl/4/coronavirus/Nieuwsoverzicht-coronavirus.html,https://www.lelystad.nl/4/Lelystad/Nieuws,,
47,Gemeente,Leidschendam-Voorburg,Tom,06-05-2020,https://www.lv.nl/alles-over-coronavirus,https://www.lv.nl/nieuws-over-coronavirus,https://www.lv.nl/nieuwsoverzicht,,
48,Gemeente,Hoorn,Tom,06-05-2020,https://www.hoorn.nl/coronavirus,,https://www.hoorn.nl/nieuws,,
49,Gemeente,Almelo,Tom,06-05-2020,https://www.almelo.nl/informatie-corona,,https://www.almelo.nl/nieuwsoverzicht,,
50,Gemeente,Vlaardingen,Tom,06-05-2020,,https://www.vlaardingen.nl/Organisatie/Nieuws_en_actualiteiten/Nieuws/Coronavirus_in_Vlaardingen,https://www.vlaardingen.nl/Onderwerpen/Onderwerpen_homepagina_inhoud/Nieuws,,
51,Gemeente,Gouda,Tom,06-05-2020,https://www.gouda.nl/Bestuur_en_organisatie/Publicaties_en_besluiten/Nieuwsberichten/Coronavirus,https://www.gouda.nl/Bestuur_en_organisatie/Publicaties_en_besluiten/Nieuwsberichten/Coronavirus/Informatie_coronavirus/Nieuwsberichten_coronavirus,https://www.gouda.nl/Bestuur_en_organisatie/Publicaties_en_besluiten/Nieuwsberichten,,
52,Gemeente,Velsen,Tom,06-05-2020,https://www.velsen.nl/corona,https://www.velsen.nl/corona/nieuwsarchief,https://www.velsen.nl/nieuws,,
53,Gemeente,Assen,Tom,06-05-2020,https://www.assen.nl/coronavirus,https://www.assen.nl/nieuwsoverzicht-corona,https://www.assen.nl/actueel/nieuws,,
54,Gemeente,Capelle Aan Den Ijssel,Tom,06-05-2020,https://www.capelleaandenijssel.nl/over-capelle/coronavirus_43151/,,https://www.capelleaandenijssel.nl/over-capelle/nieuwsberichten_42341/,,
55,Gemeente,Bergen Op Zoom,Tom,06-05-2020,https://www.bergenopzoom.nl/coronavirus,https://www.bergenopzoom.nl/laatste-nieuws-coronavirus,https://www.bergenopzoom.nl/nieuws,,
56,Gemeente,Katwijk,Tom,06-05-2020,https://www.katwijk.nl/gemeente-en-burgerzaken/faq-coronavirus,,https://www.katwijk.nl/nieuws,,
57,Gemeente,Stichtse Vecht,Tom,06-05-2020,https://stichtsevecht.nl/coronavirus/,https://stichtsevecht.nl/onderwerp/4696/coronavirus/,https://stichtsevecht.nl/nieuws/,,
58,Gemeente,Veenendaal,Tom,06-05-2020,https://www.veenendaal.nl/info-over-de-gemeente/informatie-over-coronavirus,https://www.veenendaal.nl/info-over-de-gemeente/informatie-over-coronavirus/actuele-berichten-over-coronavirus,https://www.veenendaal.nl/info-over-de-gemeente/actueel,,
59,Gemeente,Zeist,Tom,06-05-2020,https://www.zeist.nl/inwoner/uitgelicht/coronavirus/,https://www.zeist.nl/inwoner/uitgelicht/coronavirus/nieuws-coronavirus/,https://www.zeist.nl/inwoner/uitgelicht/nieuws/,,
60,Gemeente,Nieuwegein,Tom,06-05-2020,https://www.nieuwegein.nl/coronavirus,,https://www.nieuwegein.nl/actueel/nieuws,,
61,Gemeente,Hardenberg,Tom,06-05-2020,https://www.hardenberg.nl/coronavirus.html,,https://www.hardenberg.nl/actueel/,,
62,Gemeente,Lansingerland,Tom,06-05-2020,https://www.lansingerland.nl/servicewijzer/alles-over-het-coronavirus/,,https://www.lansingerland.nl/actueel/,,
63,Gemeente,Roermond,Tom,06-05-2020,https://www.roermond.nl/corona,https://www.roermond.nl/nieuws/coronaupdates,https://www.roermond.nl/nieuws,,
64,Gemeente,Doetinchem,Tom,06-05-2020,https://www.doetinchem.nl/home/coronavirus_48312/,,https://www.doetinchem.nl/home/nieuws_46547/,,
65,Gemeente,Gooise Meren,Tom,06-05-2020,https://gooisemeren.nl/informatie-corona/,https://gooisemeren.nl/informatie-corona/nieuwsberichten-corona/,https://gooisemeren.nl/nieuws/,,
66,Gemeente,Barneveld,Tom,06-05-2020,https://www.barneveld.nl/over-barneveld/coronavirus,,https://www.barneveld.nl/nieuws,,
67,Gemeente,Den Helder,Tom,06-05-2020,https://www.denhelder.nl/actueel/nieuws/informatie-over-coronavirus,,https://www.denhelder.nl/actueel/publicatie/nieuws,,
68,Gemeente,Smallingerland,Tom,06-05-2020,https://www.smallingerland.nl/Nieuwsarchief/Coronavirus,,https://www.smallingerland.nl/Nieuwsarchief,,
69,Gemeente,Hoogeveen,Tom,06-05-2020,https://www.hoogeveen.nl/dossiers/informatie-coronavirus,https://www.hoogeveen.nl/dossiers/informatie-coronavirus/nieuwsoverzicht,https://www.hoogeveen.nl/nieuwsoverzicht,,
70,Gemeente,Krimpenerwaard,Tom,06-05-2020,https://www.krimpenerwaard.nl/coronavirus,https://www.krimpenerwaard.nl/coronavirus-gemeente-krimpenerwaard,https://www.krimpenerwaard.nl/nieuws,,
71,Gemeente,Heerhugowaard,Tom,06-05-2020,https://www.heerhugowaard.nl/coronaplein/,,https://www.heerhugowaard.nl/nieuws-en-actualiteiten/,,
72,Gemeente,Oosterhout,Tom,06-05-2020,https://oosterhout.nl/inwoners/coronavirus/,https://oosterhout.nl/inwoners/coronavirus/coronanieuws-inwoners/,https://oosterhout.nl/nieuws/nieuwsberichten/,https://oosterhout.nl/ondernemers/coronanieuws-ondernemers/ ,Ondernemersnieuws
73,Gemeente,Terneuzen,Tom,06-05-2020,https://www.terneuzen.nl/Onze_Organisatie/Informatie_Coronavirus_Covid_19,https://www.terneuzen.nl/Onze_Organisatie/Actueel/Nieuws/Nieuwsberichten_Coronavirus,https://www.terneuzen.nl/Inwoners_Terneuzen/Rij_1_inwoners/Nieuws,,
74,Gemeente,Kampen,Tom,06-05-2020,https://www.kampen.nl/nieuws/coronavirus,,https://www.kampen.nl/nieuws,,
75,Gemeente,De Fryske Marren,Tom,06-05-2020,https://www.defryskemarren.nl/publicaties/actuele-informatie-coronavirus_45695/,,https://www.defryskemarren.nl/publicaties/nieuwsberichten_42743/,,
76,Gemeente,Woerden,Tom,06-05-2020,https://www.woerden.nl/inwoners/coronavirus,https://www.woerden.nl/inwoners/liveblog-coronavirus-woerden,https://www.woerden.nl/nieuws,,
77,Gemeente,Rijswijk,Tom,06-05-2020,,,https://www.rijswijk.nl/actueel,,
78,Gemeente,Heerenveen,Tom,06-05-2020,https://www.heerenveen.nl/actueel/informatie-over-het-coronavirus/,,https://www.heerenveen.nl/nieuws/,,
79,Gemeente,Weert,Tom,06-05-2020,https://www.weert.nl/coronavirus,,https://www.weert.nl/nieuws,,
80,Gemeente,Houten,Tom,07-05-2020,https://www.houten.nl/bestuur-organisatie/beleid-en-regelgeving/informatie-voor-inwoners-bedrijven-en-organisaties/,,https://www.houten.nl/nieuws/,,
81,Gemeente,Utrechtse Heuvelrug,Tom,07-05-2020,https://www.heuvelrug.nl/coronavirus,,https://www.heuvelrug.nl/nieuwsoverzicht,,
82,Gemeente,Barendrecht,Tom,07-05-2020,https://www.barendrecht.nl/informatie-coronavirus,,https://www.barendrecht.nl/nieuws,,
83,Gemeente,Middelburg (Z.),Tom,07-05-2020,https://www.middelburg.nl/Inwoners/Veiligheid_en_rampenbestrijding/Informatie_over_het_coronavirus,,https://www.middelburg.nl/Inwoners/Nieuws,,
84,Gemeente,Hollands Kroon,Tom,07-05-2020,,https://www.hollandskroon.nl/inwoners/nieuws/hollands-kroon-neemt-maatregelen-tegen-verspreiding-coronavirus,https://www.hollandskroon.nl/inwoners/nieuws,,
85,Gemeente,Waalwijk,Tom,07-05-2020,,https://www.waalwijk.nl/inwoners/nieuws_3359/item/laatste-nieuws-coronavirus_11390.html,https://www.waalwijk.nl/inwoners/nieuws_3359/,,
86,Gemeente,Overbetuwe,Tom,07-05-2020,https://www.overbetuwe.nl/Inwoners/Informatie_over_het_coronavirus,,https://www.overbetuwe.nl/Inwoners/Inwoners/Nieuws,,
87,Gemeente,Zutphen,Tom,07-05-2020,https://www.zutphen.nl/Inwoners/Nieuws/Nieuwsberichten/Coronavirus_nieuws_en_updates,,https://www.zutphen.nl/Inwoners/Nieuws/Nieuwsberichten,,
88,Gemeente,Noordoostpolder,Tom,07-05-2020,https://www.noordoostpolder.nl/informatie-coronavirus-0,,https://www.noordoostpolder.nl/nieuws,,
89,Gemeente,Harderwijk,Tom,07-05-2020,https://www.harderwijk.nl/leven/coronavirus_43431/,,https://www.harderwijk.nl/organisatie/actueel_219/,,
90,Gemeente,Schagen,Tom,07-05-2020,https://www.schagen.nl/coronavirus,,https://www.schagen.nl/home/nieuws_43640/,,
91,Gemeente,Lingewaard,Tom,07-05-2020,https://www.lingewaard.nl/corona,https://www.lingewaard.nl/coronainwoners,https://www.lingewaard.nl/nieuws,https://www.lingewaard.nl/corona-informatie-voor-ondernemers,Aparte ondernemerspagian
92,Gemeente,Kerkrade,Tom,07-05-2020,,https://www.kerkrade.nl/wonen-en-leven/coronavirus-covid-19_41910/,https://www.kerkrade.nl/wonen-en-leven/nieuws_3169/,,
93,Gemeente,Soest,Tom,07-05-2020,https://www.soest.nl/in-de-gemeente-soest/coronavirus,,https://www.soest.nl/actueel,,
94,Gemeente,Ridderkerk,Tom,07-05-2020,https://www.ridderkerk.nl/coronavirus,,https://www.ridderkerk.nl/nieuws,https://www.ridderkerk.nl/informatie-coronavirus-voor-ondernemers,
95,Gemeente,Veldhoven,Tom,07-05-2020,https://www.veldhoven.nl/corona,https://www.veldhoven.nl/corona#nieuwsberichten,https://www.veldhoven.nl/inwoners-en-ondernemers/actueel,,
96,Gemeente,Zwijndrecht,Tom,07-05-2020,,https://www.zwijndrecht.nl/Bestuur/Nieuws_en_bekendmakingen/Nieuws/Update_Corona_virus_regio_Zuid_Holland_Zuid,https://www.zwijndrecht.nl/Inwoners/Nieuws_en_bekendmakingen,,
97,Gemeente,Aa en Hunze,Tom,07-05-2020,https://www.aaenhunze.nl/Inwoners_verenigingen/Corona,https://www.aaenhunze.nl/Inwoners_verenigingen/Corona/Nieuwsberichten,https://www.aaenhunze.nl/Bestuur/Nieuws/Nieuws,,
98,Gemeente,Aalsmeer,Tom,07-05-2020,https://www.aalsmeer.nl/home/nieuws/informatie-coronavirus,https://www.aalsmeer.nl/home/nieuws/informatie-coronavirus,https://www.aalsmeer.nl/home/publicatie/nieuws,,
99,Gemeente,Aalten,Tom,07-05-2020,https://www.aalten.nl/inwoners/coronavirus_44676,,https://www.aalten.nl/in-de-gemeente/nieuwsberichten_42611/,,
100,Gemeente,Achtkarspelen,Tom,07-05-2020,https://www.achtkarspelen.nl/inwoners-achtkarspelen/corona_48044/,,https://www.achtkarspelen.nl/inwoners-achtkarspelen/nieuws_43791/,,
,Gemeente,Alblasserdam,Max,06-05-2020,,https://www.alblasserdam.nl/Inwoners/Alle_onderwerpen/Informatie_over_coronavirus,https://www.alblasserdam.nl/Inwoners/Configuratie_inwoners/Uitgelicht/Nieuws,,
,Gemeente,Albrandswaard,Max,06-05-2020,,https://www.albrandswaard.nl/actuele-informatie-coronavirus,https://www.albrandswaard.nl/nieuws,Corona ondernemers: https://www.albrandswaard.nl/informatie-coronavirus-voor-ondernemers,
,Gemeente,Alphen-Chaam,Max,06-05-2020,https://www.alphen-chaam.nl/coronavirus.html,,https://www.alphen-chaam.nl/nieuws/nieuws.html,,
,Gemeente,Altena,Max,06-05-2020,https://www.gemeentealtena.nl/index.php?id=860,,https://www.gemeentealtena.nl/nieuws,,
,Gemeente,Ameland,Max,06-05-2020,https://www.ameland.nl/ameland-actueel/coronavirus_46095/,,https://www.ameland.nl/ameland-actueel/nieuws_42176/,,
,Gemeente,Appingedam,Max,06-05-2020,https://www.appingedam.nl/home/coronavirus-informatie_44142/,,https://www.appingedam.nl/home/nieuws_43484/,Corona ondernemers: https://www.appingedam.nl/home/coronavirus-informatie_44142/rubriek/ondernemers_2531.html,
,Gemeente,Asten,Max,06-05-2020,https://www.asten.nl/wonen/coronavirus-covid-19.html,,https://www.asten.nl/nieuws.html,,
,Gemeente,Baarle-Nassau,Max,06-05-2020,https://www.baarle-nassau.nl/coronavirus.html,,https://www.baarle-nassau.nl/nieuws/nieuws.html,,
,Gemeente,Baarn,Max,06-05-2020,https://www.baarn.nl/home/nieuws_42897/item/informatie-over-het-coronavirus_57379.html,,https://www.baarn.nl/home/nieuws_42897/,4 meest recente nieuwsberichten staan op de hoofdpagina: https://www.baarn.nl/home,
,Gemeente,Beek,Max,06-05-2020,,https://www.gemeentebeek.nl/#home/slide2,https://www.gemeentebeek.nl/home/landelijke-maatregelen_43778/,Informatie ondernemers: https://www.gemeentebeek.nl/home/coronavirus-informatie-voor-ondernemers_43790/,
,Gemeente,Beekdaelen,Max,06-05-2020,https://www.beekdaelen.nl/home#,,https://www.beekdaelen.nl/contact-en-nieuws/nieuws_3247/,,
,Gemeente,Beemster,Max,06-05-2020,https://www.purmerend.nl/actuele-informatie-over-het-coronavirus-purmerend,,https://www.beemster.net/nieuwsoverzicht,,
,Gemeente,Beesel,Max,06-05-2020,https://www.beesel.nl/inwoners/coronavirus/landelijk/landelijk,https://www.beesel.nl/inwoners/coronavirus/lokaal/lokaal,https://www.beesel.nl/nieuws/,,
,Gemeente,Berg en Dal,Max,06-05-2020,https://www.bergendal.nl/inwoners/coronavirus-covid-19_48540/,https://www.bergendal.nl/inwoners/nieuws-corona-algemeen_48561/,https://www.bergendal.nl/inwoners/nieuws_45119/,,
,Gemeente,Bergeijk,Max,06-05-2020,https://www.bergeijk.nl/home/coronavirus-covid-19_48885/,,https://www.bergeijk.nl/home/nieuwsberichten_47681/,,
,Gemeente,Bergen (L.),Max,06-05-2020,https://www.bergen.nl/home/informatie-over-het-coronavirus_46238/,,https://www.bergen.nl/home/nieuws_44193/,,
,Gemeente,Bergen (NH.),Max,06-05-2020,https://www.bergen-nh.nl/index.php?id=4496&MP=4496-4497,,https://www.bergen-nh.nl/nieuwsoverzicht,,
,Gemeente,Berkelland,Max,06-05-2020,https://www.gemeenteberkelland.nl/Inwoners/Coronavirus/,,https://www.gemeenteberkelland.nl/Inwoners/Nieuwsberichten/Nieuws,,
,Gemeente,Bernheze,Max,06-05-2020,https://www.bernheze.org/inwoners-en-ondernemers/coronavirus/,https://www.bernheze.org/inwoners-en-ondernemers/coronavirus/maatregelen/,https://www.bernheze.org/nieuws/,,
,Gemeente,Best,Max,06-05-2020,,https://www.gemeentebest.nl/coronavirus,https://www.gemeentebest.nl/nieuws/,,
,Gemeente,Beuningen,Max,06-05-2020,https://www.beuningen.nl/Home/Coronavirus:NhDAQB7NQ-WEKPcoZBg58A,https://www.beuningen.nl/Home/Coronanieuws,https://www.beuningen.nl/Nieuwsarchief/Nieuwsberichten_2020/Nieuwsberichten_mei,Specifiek voor maatregelen: https://www.beuningen.nl/Home/Coronavirus:NhDAQB7NQ-WEKPcoZBg58A/Maatregelen,
,Gemeente,Beverwijk,Max,06-05-2020,https://corona.beverwijk.nl/,https://corona.beverwijk.nl/laatste-nieuws,https://www.beverwijk.nl/inwoners-ondernemers/nieuwsarchief_41523/,,
,Gemeente,De Bilt,Max,06-05-2020,https://www.debilt.nl/coronavirus-1,https://www.debilt.nl/nieuwsoverzicht/actuele-informatie-coronavirus-in-gemeente-de-bilt,https://www.debilt.nl/nieuwsoverzicht,,
